GeoRefNo,ClassPr_S,ClassSc_S,MA_Zip1,PA-Strt,LndAc_S,ImpAc_S,OthAc_S,TtlVal_AsrYr,Neighborhood,LotArea,ParType,BldgNo_S,DwlgNo_S,YrBuilt,Foundation,RoofMatl,Ext1,Ext2,MasVnrType,Heating,Central Air,GLA,TtlBsmtSF,TotRmsAbvGrd,NmbrBRs,Fireplaces,PoolArea,GarageType,GarYrBlt,Cars,GarageArea,YrSold_YYYY,MoSold_MM,Neighborhood_RecentSoldPrice
527101120,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,136800,160600,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1055.0,1055.0,5.0,2.0,1.0,0.0,Attachd,1999.0,2.0,439.0,None,None,160600
527101130,RESIDENTIAL,CONDO,50010.0,EISENHOWER,26600,0,166500,193100,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1055.0,1055.0,5.0,2.0,1.0,0.0,Attachd,1999.0,2.0,439.0,None,None,193100
527101140,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,132100,155900,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1363.0,638.0,5.0,1.0,1.0,0.0,BuiltIn,1999.0,2.0,429.0,2017.0,10.0,155900
527101150,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,131700,155500,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1407.0,660.0,5.0,2.0,1.0,0.0,BuiltIn,1999.0,2.0,429.0,None,None,155500
527101160,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,129900,153700,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1055.0,1055.0,5.0,2.0,1.0,0.0,Attachd,1999.0,2.0,439.0,None,None,153700
527101170,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,127400,151200,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1055.0,1055.0,5.0,2.0,0.0,0.0,Attachd,1999.0,2.0,439.0,None,None,151200
527101180,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,128300,152100,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1363.0,638.0,5.0,2.0,1.0,0.0,BuiltIn,1999.0,2.0,429.0,2017.0,5.0,152100
527101190,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,131700,155500,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1407.0,660.0,5.0,2.0,1.0,0.0,BuiltIn,1999.0,2.0,429.0,None,None,155500
527101200,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,130000,153800,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1055.0,1055.0,5.0,2.0,1.0,0.0,Attachd,1999.0,2.0,439.0,None,None,153800
527102010,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,54500,0,163400,217900,Gilbert,2812.0,Dwg&Lot,0,1,1996.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1305.0,1296.0,5.0,2.0,0.0,0.0,Attachd,1996.0,2.0,400.0,None,None,217900
527102020,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,55000,0,164800,219800,Gilbert,2812.0,Dwg&Lot,0,1,1996.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1304.0,1296.0,5.0,2.0,0.0,0.0,Attachd,1997.0,2.0,400.0,None,None,219800
527102030,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,54100,0,162300,216400,Gilbert,2812.0,Dwg&Lot,0,1,1996.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1304.0,1296.0,6.0,2.0,0.0,0.0,Attachd,1997.0,2.0,400.0,None,None,216400
527102040,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,55500,0,166600,222100,Gilbert,2812.0,Dwg&Lot,0,1,1996.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1305.0,1296.0,5.0,2.0,0.0,0.0,Attachd,1997.0,2.0,400.0,None,None,222100
527102050,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,57900,0,173500,231400,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1305.0,1296.0,5.0,2.0,0.0,0.0,Attachd,1997.0,2.0,400.0,None,None,231400
527102060,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,55700,0,166900,222600,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1304.0,1296.0,6.0,2.0,0.0,0.0,Attachd,1997.0,2.0,400.0,None,None,222600
527102070,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,56200,0,168500,224700,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1305.0,1296.0,6.0,2.0,0.0,0.0,Attachd,1997.0,2.0,400.0,2017.0,4.0,224700
527102080,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,55700,0,166900,222600,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1305.0,1296.0,6.0,2.0,1.0,0.0,Attachd,1997.0,2.0,400.0,None,None,222600
527102090,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,55300,0,166000,221300,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1305.0,1296.0,5.0,1.0,0.0,0.0,Attachd,1997.0,2.0,400.0,None,None,221300
527102100,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,55900,0,167700,223600,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1322.0,1314.0,5.0,2.0,0.0,0.0,Attachd,1997.0,2.0,400.0,2018.0,4.0,223600
527102100,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,55900,0,167700,223600,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1322.0,1314.0,5.0,2.0,0.0,0.0,Attachd,1997.0,2.0,400.0,2016.0,1.0,223600
527102110,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,55100,0,165200,220300,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1322.0,1314.0,5.0,2.0,0.0,0.0,Attachd,1997.0,2.0,410.0,2017.0,8.0,220300
527102120,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010.0,EISENHOWER,58500,0,175400,233900,Gilbert,2812.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1324.0,1314.0,5.0,2.0,1.0,0.0,Attachd,1997.0,2.0,410.0,None,None,233900
